Date,Day,Tweet,Retweets,Likes
Jun 17 2020 ,Jun 17,"RT @tegmark: Help us find an unsung hero! If they win, they get $50k &amp; you get up to $3k for nominating/spreading the word. Our first 3 awa…",444,0
Jun 17 2020 ,Jun 17,@NYYScoreKeep Not sure. They’re pretty close together.,32,980
Jun 16 2020 ,Jun 16,@westcoastbill It will be real,369,7841
Jun 16 2020 ,Jun 16,@cisoml @Erdayastronaut @russ_parrish Maybe Incat https://t.co/qHbJcMocFg,29,751
Jun 16 2020 ,Jun 16,@flcnhvy There will be many test flights before commercial passengers are carried. First Earth to Earth test flight… https://t.co/gKyeCVkLeQ,356,4678
Jun 16 2020 ,Jun 16,@Erdayastronaut @russ_parrish We need to be far enough away so as not to bother heavily populated areas. The launch… https://t.co/UHZT7HfVsh,158,3006
Jun 16 2020 ,Jun 16,"@YarLP Directionally correct, but Zenit is an order of magnitude smaller than Starship system &amp; doesn’t come back &amp; land",84,2217
Jun 16 2020 ,Jun 16,"@21aeax US law requires at least a green card to be hired at SpaceX, as rockets are considered advanced weapons technology",76,1182
Jun 16 2020 ,Jun 16,@russ_parrish Pretty much,72,2444
Jun 16 2020 ,Jun 16,@AgoleiD Illuminaughty haha,547,7046
Jun 16 2020 ,Jun 16,"SpaceX is building floating, superheavy-class spaceports for Mars, moon &amp; hypersonic travel around Earth https://t.co/zLJjz43hKw",9254,76594
Jun 16 2020 ,Jun 16,@LabPadre Maybe some Flextape,196,4049
Jun 16 2020 ,Jun 16,"@LabPadre No problem, we can buff it out",380,16691
Jun 16 2020 ,Jun 16,@Teslarati Fairing reuse is looking good,208,5954
Jun 16 2020 ,Jun 16,@physorg_com @ubcnews @AAS_Publishing So where are the aliens?,4030,50883
Jun 16 2020 ,Jun 16,@Teslarati Or Y,90,2815
Jun 16 2020 ,Jun 16,@Teslarati No larger pack Model 3 is in development,265,8551
Jun 16 2020 ,Jun 16,"@tesla_peter @t0mmyr Actually, we’ve made slight changes, but the range improvement is &gt;90% efficiency",38,1121
Jun 16 2020 ,Jun 16,@cleantechnica Cool,168,6004
Jun 16 2020 ,Jun 16,@ZJasko Physics doesn’t care about politicians,292,2712
Jun 16 2020 ,Jun 16,@jgold310 Coming soon,39,1471
Jun 16 2020 ,Jun 16,All Model S cars made since late Jan have 402 mile range. This is just making it official.,1307,36703
Jun 15 2020 ,Jun 15,Tesla Model S now first ever electric vehicle to receive EPA range rating above 400 miles! https://t.co/EOTwVfvHS5,7533,88369
Jun 15 2020 ,Jun 15,@flcnhvy Absolutely,65,1652
Jun 15 2020 ,Jun 15,China &amp; Asia Pacific Supercharger usage above pre-covid highs. North America catching up fast. Europe slightly behi… https://t.co/i82M4iSkWZ,1303,18399
Jun 15 2020 ,Jun 15,@VitalVegas Looking likely,147,4869
Jun 15 2020 ,Jun 15,@Mad_Maelstrom @Peter_J_Beck @torybruno @Starlinksat223 @Erdayastronaut Throttling is done by adjusting flow to the… https://t.co/3BO9SBL3po,44,1557
Jun 15 2020 ,Jun 15,"@SciGuySpace Tank didn’t burst, but leaked at 7.6 bar. This is a good result &amp; supports idea of 304L stainless bein… https://t.co/iTUXx0HI6U",333,4327
Jun 15 2020 ,Jun 15,"@Peter_J_Beck @torybruno @Starlinksat223 @Erdayastronaut Yeah. Merlin, using a single pintle injector with cold, li… https://t.co/2oMLALe4PQ",88,2391
Jun 15 2020 ,Jun 15,@tobyliiiiiiiiii @SciGuySpace Yes,62,1883
Jun 15 2020 ,Jun 15,"@SciGuySpace That’s the goal. There a few known weak points on this test tank, probably capable of more pressure. T… https://t.co/xme3hilQTA",106,1499
Jun 15 2020 ,Jun 15,@skysira @joshcohen @tokren1 @Andrew81947993 @FatEmperor @MarkChangizi @gordon_dyce @dvdclstn @Not_Far_Enough… https://t.co/iCR5yE3cQr,30,667
Jun 15 2020 ,Jun 15,@vlives23 @LoopedBuffalo @Michaelnardone4 @FutureJurvetson @SpaceXStarlink @SpaceX Sure,54,1419
Jun 15 2020 ,Jun 15,"@Michaelnardone4 @FutureJurvetson @SpaceXStarlink @SpaceX Around 20ms. It’s designed to run real-time, competitive… https://t.co/1oJIQJGp1s",196,2168
Jun 14 2020 ,Jun 14,@FutureJurvetson @SpaceXStarlink @SpaceX It will get even simpler. Just two instructions for Starlink: plug in &amp; po… https://t.co/54NBGGcYCb,1391,28353
Jun 14 2020 ,Jun 14,RT @SpaceX: Falcon 9 launches 58 Starlink satellites and 3 @planetlabs Skysats to orbit before returning to Earth and landing on a droneshi…,10819,0
Jun 14 2020 ,Jun 14,@JimBridenstine @NASA Congratulations Kathy!,221,9843
Jun 11 2020 ,Jun 11,"@mcot2222 @olenamuliarchuk @mrkylefield @cleantechnica Acceptable, if your drivetrain is very efficient &amp; you add a little manga",48,1485
Jun 11 2020 ,Jun 11,@justpaulinelol @engineers_feed As foretold by https://t.co/LJJCD7BAgX,334,12183
Jun 11 2020 ,Jun 11,@engineers_feed Stonks,5194,59915
Jun 11 2020 ,Jun 11,lol,67896,559978
Jun 11 2020 ,Jun 11,@Erdayastronaut @i_gvf @SciGuySpace Exactly. Chartering a dedicated 747 flight around the world costs less than buy… https://t.co/61lRA0YF5v,187,3025
Jun 11 2020 ,Jun 11,@tobyliiiiiiiiii @physorg_com @nature @SciReports True,35,1397
Jun 11 2020 ,Jun 11,@olenamuliarchuk @mrkylefield @cleantechnica Battery industry is world champion at bs. “Lithium-ion” doesn’t really… https://t.co/x1KaxmHixK,88,1127
Jun 11 2020 ,Jun 11,@physorg_com @nature @SciReports I thought this was an Onion article,142,4971
Jun 11 2020 ,Jun 11,@blue_bnd @olenamuliarchuk @PPathole @mrkylefield @cleantechnica Staggeringly dumb,51,1188
Jun 11 2020 ,Jun 11,@PPathole @mrkylefield @cleantechnica I got the fuel cell question about 8000 times,63,1386
Jun 11 2020 ,Jun 11,@rhodanazanin1 @ABC7 @NBCLA @CBSLA It’s getting Biblical,128,1671
Jun 11 2020 ,Jun 11,"@mrkylefield @cleantechnica Exactly, fuel cells = fool sells",370,6649
Jun 11 2020 ,Jun 11,@realAnishPai Renewable energy passed coal in April https://t.co/1kRCyGXfN9,187,2422
